,"Melbourne Cricket Ground
May 20 2017 (Sat 7:25pm)",
0.1,Q1,6.1
4.6,Q2,10.4
9.11,Q3,10.5
13.12,Q4,11.6
(90),Total,(72)

230,Kicks,212
193,Handballs,160
423,Disposals,372
113,Marks,93
49,Hit Outs,52
92,Tackles,92
16,Frees For,12
12,Frees Against,16

25,Scoring Shots,17
52.0%,Accuracy,64.7%
6,Rushed Behinds,1
32.5,Disposal Per Goal,33.8
16.9,Disposal Per Scoring Shot,21.9
