,"Adelaide Oval
May 27 2017 (Sat 7:40pm)",
5.9,Q1,1.0
9.18,Q2,2.1
16.21,Q3,4.2
20.23,Q4,6.7
(143),Total,(43)

260,Kicks,203
175,Handballs,130
435,Disposals,333
93,Marks,52
49,Hit Outs,34
83,Tackles,73
19,Frees For,19
19,Frees Against,19

43,Scoring Shots,13
46.5%,Accuracy,46.2%
8,Rushed Behinds,1
21.8,Disposal Per Goal,55.5
10.1,Disposal Per Scoring Shot,25.6
