,"Blundstone Arena
Jul 29 2017 (Sat 1:45pm)",
4.4,Q1,2.0
6.4,Q2,8.5
9.8,Q3,8.8
11.10,Q4,10.12
(76),Total,(72)

178,Kicks,191
190,Handballs,204
368,Disposals,395
56,Marks,64
41,Hit Outs,56
78,Tackles,75
24,Frees For,17
17,Frees Against,24

21,Scoring Shots,22
52.4%,Accuracy,45.5%
2,Rushed Behinds,3
33.5,Disposal Per Goal,39.5
17.5,Disposal Per Scoring Shot,18.0
