,"Adelaide Oval
Jul 15 2017 (Sat 2:10pm)",
8.1,Q1,2.0
11.4,Q2,5.3
14.9,Q3,6.5
19.13,Q4,8.9
(127),Total,(57)

236,Kicks,170
173,Handballs,162
409,Disposals,332
108,Marks,70
47,Hit Outs,43
58,Tackles,91
22,Frees For,28
28,Frees Against,22

32,Scoring Shots,17
59.4%,Accuracy,47.1%
2,Rushed Behinds,4
21.5,Disposal Per Goal,41.5
12.8,Disposal Per Scoring Shot,19.5
