,"Etihad Stadium
May 21 2017 (Sun 1:10pm)",
5.2,Q1,2.4
12.8,Q2,3.7
16.10,Q3,5.13
19.11,Q4,8.16
(125),Total,(64)

272,Kicks,179
181,Handballs,155
453,Disposals,334
152,Marks,88
44,Hit Outs,32
68,Tackles,73
18,Frees For,15
15,Frees Against,18

30,Scoring Shots,24
63.3%,Accuracy,33.3%
0,Rushed Behinds,2
23.8,Disposal Per Goal,41.8
15.1,Disposal Per Scoring Shot,13.9
