,"Gabba
Aug 12 2017 (Sat 4:35pm)",
3.2,Q1,6.5
9.4,Q2,8.9
15.6,Q3,9.9
22.10,Q4,12.12
(142),Total,(84)

219,Kicks,195
163,Handballs,141
382,Disposals,336
105,Marks,86
39,Hit Outs,37
52,Tackles,62
23,Frees For,23
23,Frees Against,23

32,Scoring Shots,24
68.8%,Accuracy,50.0%
3,Rushed Behinds,3
17.4,Disposal Per Goal,28.0
11.9,Disposal Per Scoring Shot,14.0
