,"Etihad Stadium
Jul 16 2017 (Sun 1:10pm)",
4.4,Q1,1.3
5.8,Q2,4.6
9.13,Q3,6.8
16.16,Q4,12.9
(112),Total,(81)

212,Kicks,198
187,Handballs,134
399,Disposals,332
90,Marks,103
35,Hit Outs,33
54,Tackles,60
17,Frees For,22
22,Frees Against,17

32,Scoring Shots,21
50.0%,Accuracy,57.1%
2,Rushed Behinds,4
24.9,Disposal Per Goal,27.7
12.5,Disposal Per Scoring Shot,15.8
