,"Adelaide Oval
Aug 13 2017 (Sun 4:40pm)",
2.4,Q1,1.3
7.8,Q2,4.4
10.11,Q3,8.8
14.14,Q4,10.11
(98),Total,(71)

203,Kicks,204
199,Handballs,163
402,Disposals,367
107,Marks,113
34,Hit Outs,35
48,Tackles,64
19,Frees For,17
17,Frees Against,19

28,Scoring Shots,21
50.0%,Accuracy,47.6%
2,Rushed Behinds,4
28.7,Disposal Per Goal,36.7
14.4,Disposal Per Scoring Shot,17.5
