,"Melbourne Cricket Ground
Jul 15 2017 (Sat 1:45pm)",
3.3,Q1,3.2
6.7,Q2,7.6
11.9,Q3,9.10
13.10,Q4,12.13
(88),Total,(85)

194,Kicks,201
166,Handballs,198
360,Disposals,399
94,Marks,100
32,Hit Outs,33
61,Tackles,52
25,Frees For,21
21,Frees Against,25

23,Scoring Shots,25
56.5%,Accuracy,48.0%
2,Rushed Behinds,0
27.7,Disposal Per Goal,33.3
15.7,Disposal Per Scoring Shot,16.0
