,"Melbourne Cricket Ground
Apr 23 2017 (Sun 4:40pm)",
3.4,Q1,2.2
9.8,Q2,5.5
12.9,Q3,7.8
19.11,Q4,11.9
(125),Total,(75)

245,Kicks,186
211,Handballs,173
456,Disposals,359
99,Marks,80
51,Hit Outs,40
72,Tackles,79
16,Frees For,10
10,Frees Against,16

30,Scoring Shots,20
63.3%,Accuracy,55.0%
2,Rushed Behinds,1
24.0,Disposal Per Goal,32.6
15.2,Disposal Per Scoring Shot,18.0
