,"Gabba
Apr 1 2017 (Sat 7:25pm)",
3.2,Q1,4.2
5.6,Q2,10.5
11.9,Q3,12.8
12.12,Q4,17.9
(84),Total,(111)

206,Kicks,239
165,Handballs,152
371,Disposals,391
76,Marks,127
44,Hit Outs,24
53,Tackles,50
25,Frees For,27
27,Frees Against,25

24,Scoring Shots,26
50.0%,Accuracy,65.4%
2,Rushed Behinds,1
30.9,Disposal Per Goal,23.0
15.5,Disposal Per Scoring Shot,15.0
