,"Etihad Stadium
Jun 18 2017 (Sun 3:20pm)",
0.1,Q1,4.2
3.3,Q2,8.6
6.5,Q3,14.7
8.8,Q4,17.11
(56),Total,(113)

189,Kicks,231
223,Handballs,198
412,Disposals,429
62,Marks,108
61,Hit Outs,19
85,Tackles,85
24,Frees For,25
25,Frees Against,24

16,Scoring Shots,28
50.0%,Accuracy,60.7%
1,Rushed Behinds,1
51.5,Disposal Per Goal,25.2
25.8,Disposal Per Scoring Shot,15.3
