,"Etihad Stadium
Apr 30 2017 (Sun 1:10pm)",
2.2,Q1,2.4
4.8,Q2,4.6
6.12,Q3,12.9
10.14,Q4,17.10
(74),Total,(112)

248,Kicks,240
124,Handballs,179
372,Disposals,419
138,Marks,111
45,Hit Outs,25
46,Tackles,48
18,Frees For,17
17,Frees Against,18

24,Scoring Shots,27
41.7%,Accuracy,63.0%
2,Rushed Behinds,2
37.2,Disposal Per Goal,24.6
15.5,Disposal Per Scoring Shot,15.5
