,"Adelaide Oval
Jul 1 2017 (Sat 7:40pm)",
1.6,Q1,1.4
5.11,Q2,3.8
6.14,Q3,7.10
8.15,Q4,11.10
(63),Total,(76)

250,Kicks,209
147,Handballs,187
397,Disposals,396
122,Marks,92
52,Hit Outs,29
67,Tackles,79
18,Frees For,12
12,Frees Against,18

23,Scoring Shots,21
34.8%,Accuracy,52.4%
0,Rushed Behinds,3
49.6,Disposal Per Goal,36.0
17.3,Disposal Per Scoring Shot,18.9
