,"Domain Stadium
Aug 20 2017 (Sun 4:40pm)",
3.4,Q1,3.0
3.5,Q2,11.2
5.8,Q3,18.5
7.9,Q4,25.5
(51),Total,(155)

166,Kicks,227
141,Handballs,210
307,Disposals,437
61,Marks,106
52,Hit Outs,33
73,Tackles,77
14,Frees For,21
21,Frees Against,14

16,Scoring Shots,30
43.8%,Accuracy,83.3%
2,Rushed Behinds,0
43.9,Disposal Per Goal,17.5
19.2,Disposal Per Scoring Shot,14.6
