,"Domain Stadium
Aug 27 2017 (Sun 4:40pm)",
4.1,Q1,1.1
8.4,Q2,5.5
13.5,Q3,7.10
15.10,Q4,10.11
(100),Total,(71)

231,Kicks,202
161,Handballs,213
392,Disposals,415
108,Marks,87
42,Hit Outs,54
59,Tackles,62
23,Frees For,12
12,Frees Against,23

25,Scoring Shots,21
60.0%,Accuracy,47.6%
1,Rushed Behinds,2
26.1,Disposal Per Goal,41.5
15.7,Disposal Per Scoring Shot,19.8
