,"Domain Stadium
Jul 16 2017 (Sun 4:40pm)",
0.3,Q1,4.1
2.8,Q2,5.4
3.13,Q3,9.6
5.14,Q4,11.8
(44),Total,(74)

204,Kicks,244
168,Handballs,180
372,Disposals,424
87,Marks,143
35,Hit Outs,43
65,Tackles,50
19,Frees For,11
11,Frees Against,19

19,Scoring Shots,19
26.3%,Accuracy,57.9%
1,Rushed Behinds,2
74.4,Disposal Per Goal,38.5
19.6,Disposal Per Scoring Shot,22.3
