,"Melbourne Cricket Ground
Mar 30 2017 (Thu 7:20pm)",
2.4,Q1,2.4
3.5,Q2,4.9
9.8,Q3,7.13
14.15,Q4,11.14
(99),Total,(80)

207,Kicks,202
129,Handballs,169
336,Disposals,371
75,Marks,88
21,Hit Outs,49
58,Tackles,55
21,Frees For,25
25,Frees Against,21

29,Scoring Shots,25
48.3%,Accuracy,44.0%
1,Rushed Behinds,3
24.0,Disposal Per Goal,33.7
11.6,Disposal Per Scoring Shot,14.8
