,"Melbourne Cricket Ground
Jun 17 2017 (Sat 1:45pm)",
5.3,Q1,0.4
7.6,Q2,3.5
9.7,Q3,7.6
10.11,Q4,12.8
(71),Total,(80)

233,Kicks,201
155,Handballs,152
388,Disposals,353
107,Marks,88
21,Hit Outs,50
73,Tackles,67
23,Frees For,18
18,Frees Against,23

21,Scoring Shots,20
47.6%,Accuracy,60.0%
2,Rushed Behinds,1
38.8,Disposal Per Goal,29.4
18.5,Disposal Per Scoring Shot,17.7
