,"Metricon Stadium
Jul 29 2017 (Sat 7:25pm)",
4.2,Q1,3.4
5.3,Q2,8.8
8.4,Q3,11.11
10.5,Q4,14.14
(65),Total,(98)

203,Kicks,212
138,Handballs,162
341,Disposals,374
94,Marks,84
38,Hit Outs,35
59,Tackles,73
26,Frees For,20
20,Frees Against,26

15,Scoring Shots,28
66.7%,Accuracy,50.0%
2,Rushed Behinds,2
34.1,Disposal Per Goal,26.7
22.7,Disposal Per Scoring Shot,13.4
