,"Domain Stadium
May 7 2017 (Sun 4:40pm)",
2.2,Q1,4.3
5.6,Q2,7.7
11.10,Q3,11.12
17.14,Q4,11.13
(116),Total,(79)

239,Kicks,181
176,Handballs,149
415,Disposals,330
134,Marks,92
59,Hit Outs,18
39,Tackles,66
21,Frees For,12
12,Frees Against,21

31,Scoring Shots,24
54.8%,Accuracy,45.8%
3,Rushed Behinds,1
24.4,Disposal Per Goal,30.0
13.4,Disposal Per Scoring Shot,13.8
